Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Duke Energy Florida - Commercial Charger Rebate,FL,Financial Incentive,Rebate Program,6/6/2024,1/5/2025
Florida - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,FL,Financial Incentive,Grant Program,6/12/2024,6/12/2024
CIty of Jacksonville - Green Building Expedited Plan Review,FL,Financial Incentive,Green Building Incentive,7/15/2024,7/15/2024
CIty of Jacksonville - Sustainable Building Certification Grant Program,FL,Financial Incentive,Green Building Incentive,7/15/2024,7/15/2024
CIty of Miami - Green Building Requirements,FL,Regulatory Policy,Building Energy Code,7/26/2024,7/26/2024
Duke Energy Florida - Off-Peak Charging Credit,FL,Financial Incentive,Performance-Based Incentive,1/5/2025,1/5/2025
JEA - Commercial Fleet Electrification Program,FL,Financial Incentive,Rebate Program,2/6/2025,2/6/2025
Kissimmee Utility Authority - Residential Electric Vehicle Charger Rebate,FL,Financial Incentive,Rebate Program,2/6/2025,2/6/2025
Georgia Solar Easement Laws,GA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,1/3/2025
Net Metering,GA,Regulatory Policy,Net Metering,5/16/2001,1/2/2025
Interconnection Guidelines,GA,Regulatory Policy,Interconnection,7/1/2003,1/14/2024
Building Energy Code,GA,Regulatory Policy,Building Energy Code,7/19/2006,6/18/2023
Biomass Sales and Use Tax Exemption,GA,Financial Incentive,Sales Tax Incentive,8/11/2006,1/2/2025
Blue Ridge Mountain Electric Membership Corporation - Residential Heat Pump Loan Program,GA,Financial Incentive,Loan Program,9/1/2006,2/13/2024
Coweta-Fayette EMC - Residential Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,9/23/2006,1/29/2024
Diverse Power - Energy Efficient New Construction Rebate Programs,GA,Financial Incentive,Rebate Program,9/23/2006,5/16/2024
Jackson EMC - Residential Energy Efficiency HomePlus Loan Program,GA,Financial Incentive,Loan Program,9/24/2006,6/3/2024
Sawnee EMC - Residential Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,9/24/2006,1/17/2025
Sawnee EMC - Commercial Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,9/24/2006,6/3/2024
Walton EMC - Residential Energy Efficiency Rebate Programs,GA,Financial Incentive,Rebate Program,9/24/2006,1/24/2024
Walton EMC - HomePlus Loan Program,GA,Financial Incentive,Loan Program,9/24/2006,5/16/2024
Energy Efficiency and Sustainable Construction Standards for Public Buildings,GA,Regulatory Policy,Energy Standards for Public Buildings,5/29/2008,6/19/2024
City of Chamblee - LEED Requirement for Public and Commercial Buildings,GA,Regulatory Policy,Energy Standards for Public Buildings,6/10/2008,6/13/2024
Georgia Power - Home Energy Improvement Program,GA,Financial Incentive,Rebate Program,12/11/2008,3/19/2025
Marietta Power & Water - Residential Energy Efficiency Rebate,GA,Financial Incentive,Rebate Program,6/12/2009,2/13/2024
City of Atlanta - Sustainable Development Design Standards,GA,Regulatory Policy,Energy Standards for Public Buildings,11/13/2003,6/25/2024
Local Option - Special Improvement Districts,GA,Financial Incentive,PACE Financing,5/27/2010,1/2/2024
Georgia Power - Commercial Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,2/28/2011,3/12/2025
Diverse Power - Energy Efficient Existing Homes Rebate Program,GA,Financial Incentive,Rebate Program,9/23/2006,5/16/2024
Jackson EMC - Residential Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,9/24/2006,1/22/2024
Satilla REMC - HomePlus Loan Program,GA,Financial Incentive,Loan Program,8/2/2012,6/3/2024
TVA - Residential Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
Central Georgia EMC - Home Plus Loan for Energy Efficiency Upgrades,GA,Financial Incentive,Loan Program,7/25/2018,1/2/2025
TVA - Commercial Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Electric Vehicle Supply Equipment Tax Credit,GA,Financial Incentive,Personal Tax Credit,5/27/2021,1/2/2025
Georgia Power - Residential Electric Vehicle Charger Program,GA,Financial Incentive,Rebate Program,7/17/2021,6/4/2024
Georgia Power - Business EV Charger Plus Rebate Program,GA,Financial Incentive,Rebate Program,7/17/2021,6/6/2024
ACE Georgia - Business Loan Program,GA,Financial Incentive,Loan Program,10/3/2022,5/29/2025
Georgia Power - Energy Assistance for Savings & Efficiency (EASE),GA,Financial Incentive,Rebate Program,4/12/2023,3/19/2025
GaDER School Bus Retrofit Program,GA,Financial Incentive,Grant Program,5/25/2023,6/6/2024
Jackson EMC - Residential EV Charger Rebate,GA,Financial Incentive,Rebate Program,6/4/2024,6/4/2024
Georgia - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,GA,Financial Incentive,Grant Program,6/12/2024,6/12/2024
City of Atlanta - Incentivized Green Developments,GA,Financial Incentive,Green Building Incentive,7/25/2024,7/25/2024
Georgia - Home Electrification and Appliance Rebate (HEAR) Program,GA,Financial Incentive,Rebate Program,11/15/2024,4/1/2025
Georgia - Home Efficiency Rebate (HER) Program,GA,Financial Incentive,Rebate Program,11/15/2024,4/1/2025
Guam - Net Metering,GU,Regulatory Policy,Net Metering,1/25/2008,2/27/2025
Guam - Renewable Energy Portfolio Goal,GU,Regulatory Policy,Renewables Portfolio Standard,3/31/2008,11/26/2024
Guam - Building Energy Code,GU,Regulatory Policy,Building Energy Code,6/17/2008,6/12/2020
Guam - Photovoltaic Property Tax Exemption,GU,Financial Incentive,Property Tax Incentive,1/4/2024,3/21/2025
Solar and Wind Energy Credit (Corporate),HI,Financial Incentive,Corporate Tax Credit,1/1/2000,3/21/2025
Solar and Wind Energy Credit (Personal),HI,Financial Incentive,Personal Tax Credit,1/1/2000,3/21/2025
Hawaii Solar Installation Rights,HI,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/23/2023
Solar Contractor Licensing,HI,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000,12/19/2024
Solar Water Heater Rebate,HI,Financial Incentive,Rebate Program,1/1/2000,5/30/2025
Smart Renewable Energy Tariffs,HI,Regulatory Policy,Net Metering,7/9/2001,2/28/2025
KIUC - Solar Water Heating Loan Program,HI,Financial Incentive,Loan Program,6/22/2001,5/10/2024
KIUC - Solar Water Heating Rebate Program,HI,Financial Incentive,Rebate Program,6/22/2001,5/10/2024
Renewable Portfolio Standard,HI,Regulatory Policy,Renewables Portfolio Standard,7/12/2001,11/26/2024
City and County of Honolulu - Solar Loan Program,HI,Financial Incentive,Loan Program,6/11/2003,5/24/2024
Interconnection Standards,HI,Regulatory Policy,Interconnection,8/21/2003,6/10/2024
Residential Energy Efficiency Rebate Program,HI,Financial Incentive,Rebate Program,4/18/2006,5/7/2025
Renewables and Efficiency in State Facilities & Operations,HI,Regulatory Policy,Energy Standards for Public Buildings,7/14/2006,7/1/2024
Building Energy Code,HI,Regulatory Policy,Building Energy Code,8/1/2006,6/18/2023
KIUC - Energy Wise Commercial Energy Efficiency Program,HI,Financial Incentive,Rebate Program,9/1/2006,5/10/2024
Priority Permit Processing for Green Buildings,HI,Financial Incentive,Green Building Incentive,9/25/2006,8/19/2024
Public Benefits Fee for Energy Efficiency,HI,Regulatory Policy,Public Benefits Fund,6/3/2008,7/26/2021
Solar Water Heating Requirement for New Residential Construction,HI,Regulatory Policy,Building Energy Code,6/27/2008,5/24/2024
Farm and Aquaculture Alternative Energy Loan,HI,Financial Incentive,Loan Program,7/8/2008,6/30/2025
City and County of Honolulu - Real Property Tax Exemption for Renewable Energy Property,HI,Financial Incentive,Property Tax Incentive,9/23/2009,10/25/2024
Hawaii Energy,HI,Regulatory Policy,Public Benefits Fund,1/1/2009,7/30/2021
Hawaii PACE program,HI,Financial Incentive,PACE Financing,1/4/2010,1/15/2024
Energy Efficiency Portfolio Standard,HI,Regulatory Policy,Energy Efficiency Resource Standard,12/20/2010,10/25/2024
Fuel Mix Disclosure,HI,Regulatory Policy,Generation Disclosure,3/4/2011,8/10/2023
Commercial Energy Efficiency Rebate Program,HI,Financial Incentive,Rebate Program,12/14/2012,5/30/2025
Green Infrastructure Bonds,HI,Financial Incentive,Bond Program,8/1/2013,8/19/2024
Hawaii Appliance and Equipment Energy Efficiency Standards,HI,Regulatory Policy,Appliance/Equipment Efficiency Standards,7/8/2021,10/25/2024
Electric Vehicle Charging Station Rebate Program,HI,Financial Incentive,Rebate Program,8/20/2021,1/24/2025
Community Renewable Energy Program,HI,Regulatory Policy,Community Solar Rules,6/21/2022,5/22/2025
Hawaii - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,HI,Financial Incentive,Grant Program,6/11/2024,6/11/2024
Iowa Solar Easement and Access Laws,IA,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,5/26/2023
Renewable Energy Equipment Exemption,IA,Financial Incentive,Sales Tax Incentive,1/1/2000,3/17/2025
Local Option - Special Assessment of Wind Energy Devices,IA,Financial Incentive,Property Tax Incentive,1/1/2000,10/9/2024
Property Tax Exemption for Renewable Energy Systems,IA,Financial Incentive,Property Tax Incentive,1/1/2000,8/15/2024
Methane Gas Conversion Property Tax Exemption,IA,Financial Incentive,Property Tax Incentive,1/1/2000,10/9/2024
Mandatory Utility Green Power Option,IA,Regulatory Policy,Mandatory Utility Green Power Option,9/24/2001,8/27/2021
Alternative Energy Law (AEL),IA,Regulatory Policy,Renewables Portfolio Standard,1/1/2000,11/18/2024
Fuel Mix and Emissions Disclosure,IA,Regulatory Policy,Generation Disclosure,2/14/2005,8/9/2023
Net Metering,IA,Regulatory Policy,Net Metering,1/1/2000,2/28/2025
Interconnection Standards,IA,Regulatory Policy,Interconnection,6/18/2003,6/7/2024
Energy Replacement Generation Tax Exemption,IA,Financial Incentive,Corporate Tax Exemption,7/10/2003,3/27/2025
Alliant Energy Interstate Power and Light - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,6/5/2006,5/30/2024
Alliant Energy Interstate Power and Light - Farm Equipment Energy Efficiency Incentives,IA,Financial Incentive,Rebate Program,6/5/2006,9/24/2024
Cedar Falls Utilities - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,7/14/2006,1/22/2024
Energy Efficiency in State Facilities,IA,Regulatory Policy,Energy Standards for Public Buildings,7/14/2006,6/10/2024
Building Energy Code,IA,Regulatory Policy,Building Energy Code,7/28/2006,6/18/2023
Linn County Rural Electric Cooperative - Residential and Small Commercial (<75kw) rebates,IA,Financial Incentive,Rebate Program,3/19/2007,9/20/2024
Muscatine Power and Water - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,2/5/2008,1/22/2024
Muscatine Power and Water - Commercial and Industrial Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,2/5/2008,9/18/2024
Ames Electric Department - Commercial Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,3/18/2008,8/15/2024
Waverly Light & Power - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,3/19/2008,1/14/2025
Indianola Municipal Utilities - Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,10/30/2008,12/6/2024
Ames Electric Department - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,1/30/2009,8/15/2024
Black Hills Energy (Gas) - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2/24/2009,6/3/2024
Black Hills Energy (Gas) - Commercial Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,2/24/2009,1/14/2025
Cedar Falls Utilities - Residential New Construction Program,IA,Financial Incentive,Rebate Program,7/1/2009,5/30/2024
MidAmerican Energy - Commercial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,7/14/2009,9/19/2024
Cedar Falls Utilities - Commercial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,5/12/2010,11/19/2024
Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2/4/2010,9/20/2024
Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Grant Program,IA,Financial Incentive,Rebate Program,2/4/2010,9/20/2024
Energy Efficiency Standard,IA,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,6/30/2025
Liberty Utilities Iowa - High Efficiency Equipment Rebate,IA,Financial Incentive,Rebate Program,2/1/2010,5/30/2024
MidAmerican Energy - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,7/14/2009,12/4/2024
Small Wind Innovation Zone Program and Model Ordinance,IA,Regulatory Policy,Solar/Wind Permitting Standards,6/7/2011,5/26/2023
Alliant Energy Interstate Power and Light - Commercial and Industrial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,6/5/2006,9/23/2024
City of Dubuque - Solar Thermal Licensing Requirement,IA,Regulatory Policy,Solar/Wind Contractor Licensing,2/2/2012,12/19/2024
Residential Energy Efficiency Rebate (Offered by 18 Utilities),IA,Financial Incentive,Rebate Program,2/3/2012,5/30/2024
Business Energy Efficiency Rebate (Offered by 18 Utilities),IA,Financial Incentive,Rebate Program,2/3/2012,9/17/2024
IADG Energy Bank Revolving Loan Program,IA,Financial Incentive,Loan Program,4/26/2013,6/14/2024
Energy Infrastructure Revolving Loan Program,IA,Financial Incentive,Loan Program,10/19/2021,6/14/2024
Linn County Rural Electric Cooperative - Commercial (>75KW) Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,2/8/2023,9/20/2024
Iowa Energy Center Grant Program,IA,Financial Incentive,Grant Program,5/25/2023,5/25/2023
Diesel Emission Reduction Project Funding,IA,Financial Incentive,Grant Program,3/21/2024,3/21/2024
Iowa - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IA,Financial Incentive,Grant Program,6/13/2024,6/13/2024
Idaho Solar Easements & Access Laws,ID,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,12/5/2023
Residential Alternative Energy Tax Deduction,ID,Financial Incentive,Personal Tax Deduction,1/1/2000,4/1/2025
Low-Interest Energy Loan Programs,ID,Financial Incentive,Loan Program,1/1/2000,8/28/2023
Idaho Power - Net Metering,ID,Regulatory Policy,Net Metering,1/1/2000,3/4/2025
Clean Energy Project Bond Program,ID,Financial Incentive,Bond Program,4/29/2005,8/29/2023
Rocky Mountain Power - Net Metering,ID,Regulatory Policy,Net Metering,7/24/2003,2/25/2025
Income Tax Deduction for Energy Efficiency Upgrades,ID,Financial Incentive,Personal Tax Deduction,7/28/2005,4/1/2025
Idaho Power - New Building Efficiency Program,ID,Financial Incentive,Rebate Program,6/22/2006,8/4/2023
Idaho Power - Commercial Custom Efficiency Program,ID,Financial Incentive,Rebate Program,6/22/2006,8/4/2023
Intermountain Gas Company (IGC) - Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,6/23/2006,4/11/2024
Building Energy Code,ID,Regulatory Policy,Building Energy Code,7/31/2006,6/18/2023
Idaho Falls Power - Commercial Energy Conservation Loan Program,ID,Financial Incentive,Loan Program,8/24/2006,2/12/2025
Idaho Falls Power - Residential Energy Efficiency Loan Program,ID,Financial Incentive,Loan Program,8/24/2006,2/12/2025
Avista Utilities - Net Metering,ID,Regulatory Policy,Net Metering,10/30/2006,2/24/2025
Rocky Mountain Power - wattsmart Business Program,ID,Financial Incentive,Rebate Program,3/6/2007,8/14/2024
Rocky Mountain Power - wattsmart Residential Efficiency Program,ID,Financial Incentive,Rebate Program,3/6/2007,3/24/2025
Kootenai Electric Cooperative - Residential Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,3/19/2007,5/6/2024
Idaho Power - Easy Upgrades for Simple Retrofits Rebate Program,ID,Financial Incentive,Rebate Program,6/27/2007,8/4/2023
"Property Tax Exemption for Wind, Solar, and Geothermal Energy Producers",ID,Financial Incentive,Property Tax Incentive,3/30/2007,10/28/2024
Idaho Power - Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,11/13/2008,5/23/2024
Idaho Falls Power - Commercial Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,6/18/2009,2/12/2025
Idaho Falls Power - Residential Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,3/24/2010,2/12/2025
Northern Lights Inc. - Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,6/8/2010,4/11/2024
Avista Utilities (Electric) - Commercial Energy Efficiency Incentives Program,ID,Financial Incentive,Rebate Program,5/26/2010,7/1/2024
Avista Utilities (Electric) - Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,6/22/2006,5/10/2024
Dominion Energy - ThermWise Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,8/20/2007,5/22/2024
Dominion Energy - ThermWise Home Builder Rebate Program,ID,Financial Incentive,Rebate Program,8/20/2007,5/23/2024
Dominion Energy - ThermWise Commercial Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,8/20/2007,5/22/2024
Idaho Power - Irrigation Efficiency Rewards Program,ID,Financial Incentive,Rebate Program,7/21/2015,8/4/2023
Kootenai Electric Cooperative - Commercial Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,4/18/2019,5/6/2024
Electric Vehicle Supply Equipment (EVSE) Program,ID,Financial Incentive,Grant Program,5/27/2021,8/23/2023
Vehicle Replacement Program,ID,Financial Incentive,Rebate Program,5/27/2021,5/28/2025
Idaho Commercial PACE Financing Program,ID,Financial Incentive,PACE Financing,6/17/2024,6/17/2024
Idaho - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,ID,Financial Incentive,Grant Program,6/18/2024,6/25/2024
Special Assessment for Solar Energy Systems,IL,Financial Incentive,Property Tax Incentive,1/1/2000,3/17/2025
Illinois Clean Energy Community Foundation Grants,IL,Financial Incentive,Grant Program,11/7/2002,10/6/2022
City of Chicago - Green Power Purchasing,IL,Regulatory Policy,Green Power Purchasing,2/2/2001,12/12/2024
Renewable Energy Resources Trust Fund,IL,Regulatory Policy,Public Benefits Fund,1/1/2000,7/27/2021
Fuel Mix and Emissions Disclosure,IL,Regulatory Policy,Generation Disclosure,1/1/2000,8/10/2023
Renewable Portfolio Standard,IL,Regulatory Policy,Renewables Portfolio Standard,6/12/2001,11/18/2024
City Water Light and Power - Residential Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,7/13/2006,8/3/2023
City Water Light and Power - Commercial Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,7/13/2006,8/3/2023
Building Energy Code,IL,Regulatory Policy,Building Energy Code,7/27/2006,6/18/2023
Energy Efficiency Trust Fund,IL,Regulatory Policy,Public Benefits Fund,9/25/2006,12/12/2024
City of Chicago - Building Energy Code,IL,Regulatory Policy,Building Energy Code,3/26/2007,6/18/2023
City of Chicago - Green Building Permit Programs,IL,Financial Incentive,Green Building Incentive,3/27/2007,7/9/2024
Net Metering,IL,Regulatory Policy,Net Metering,8/28/2007,2/28/2025
Property Valuation for Commercial Wind Energy Equipment,IL,Financial Incentive,Property Tax Incentive,10/26/2007,10/15/2024
Energy Efficiency and Demand Response Fund,IL,Regulatory Policy,Public Benefits Fund,2/8/2008,7/26/2021
Interconnection Standards,IL,Regulatory Policy,Interconnection,3/28/2008,6/6/2024
ComEd -Energy Efficiency Program For Businesses,IL,Financial Incentive,Rebate Program,9/19/2008,8/3/2023
Energy Efficiency in State Government,IL,Regulatory Policy,Energy Standards for Public Buildings,6/1/2008,7/1/2024
ComEd - Energy Efficiency Program for Residential,IL,Financial Incentive,Rebate Program,12/8/2008,8/3/2023
Ameren Illinois (Electric) - Residential Energy Efficiency Incentives,IL,Financial Incentive,Rebate Program,12/10/2008,8/3/2023
Peoples Gas - Commercial & Industrial Prescriptive Rebate Program,IL,Financial Incentive,Rebate Program,1/28/2009,8/11/2023
City of Chicago - Small Business Improvement Fund,IL,Financial Incentive,Grant Program,5/19/2009,7/15/2022
MidAmerican Energy - Residential Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,7/14/2009,5/6/2024
Sales Tax Exemption for Wind and Solar Energy - High Impact Business,IL,Financial Incentive,Sales Tax Incentive,7/16/2009,12/12/2024
Renewable Energy and Energy Efficiency Project Financing,IL,Financial Incentive,Bond Program,7/31/2009,8/28/2020
Illinois PACE Financing Program,IL,Financial Incentive,PACE Financing,8/20/2009,1/15/2024
Statewide Renewable Energy Permitting Standards,IL,Regulatory Policy,Solar/Wind Permitting Standards,9/21/2009,11/4/2024
ComEd - Energy Efficiency Program for Commercial New Construction,IL,Financial Incentive,Rebate Program,6/1/2009,7/25/2024
Ameren Illinois - Instant Incentives Program,IL,Financial Incentive,Rebate Program,12/9/2009,8/3/2023
Ameren Illinois (Electric & Gas) - Multi-Family Properties Energy Efficiency Incentives,IL,Financial Incentive,Rebate Program,12/9/2009,8/3/2023
Illinois Municipal Electric Agency - Electric Efficiency Program,IL,Financial Incentive,Rebate Program,1/5/2010,8/3/2023
Nicor Gas - Residential Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,5/6/2010,11/1/2024
Nicor Gas - Commercial Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,5/6/2010,8/3/2023
North Shore Gas - Commercial & Industrial Prescriptive Rebate Program,IL,Financial Incentive,Rebate Program,6/8/2010,8/11/2023
Corn Belt Energy Coop - Residential Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,6/29/2010,8/3/2023
Illinois Solar and Wind Rights,IL,Regulatory Policy,Solar/Wind Access Policy,8/18/2010,9/22/2023
Retro-Commissioning (RCx) Program,IL,Financial Incentive,Grant Program,9/22/2008,9/30/2022
Jo-Carroll Energy - Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,12/13/2010,4/26/2024
Energy Efficiency Resource Standards,IL,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,6/30/2025
Ameren Illinois - Energy-Efficiency Program,IL,Financial Incentive,Rebate Program,12/9/2009,8/3/2023
MidAmerican Energy - Illinois Business Programs and Rebates,IL,Financial Incentive,Rebate Program,2/9/2009,8/11/2023
Cook County - LEED Requirement for County Buildings,IL,Regulatory Policy,Energy Standards for Public Buildings,6/24/2011,6/6/2024
"ComEd, Nicor Gas, Peoples Gas & North Shore Gas - Small Business Energy Savings Program",IL,Financial Incentive,Rebate Program,9/19/2008,8/3/2023
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,IL,Financial Incentive,Rebate Program,2/24/2011,5/6/2024
Corn Belt Energy Coop - Commercial Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,2/24/2011,8/3/2023
Wabash Valley Power Association (23 Member Cooperatives) - Residential Energy Efficiency Program,IL,Financial Incentive,Rebate Program,2/22/2012,8/4/2023
Residential On-Bill Financing Programs - Nicor Gas North Shore Gas Peoples Gas Ameren and ComEd,IL,Financial Incentive,Loan Program,4/5/2012,8/4/2023
Peoples Gas - Residential Rebate Program,IL,Financial Incentive,Rebate Program,1/28/2009,5/6/2024
North Shore Gas - Residential Rebate Program,IL,Financial Incentive,Rebate Program,6/8/2010,8/3/2023
ComEd - Business Instant Lighting Discounts Program,IL,Financial Incentive,Rebate Program,10/9/2012,8/3/2023
North Shore Gas - Home Energy Jumpstart Program,IL,Financial Incentive,Rebate Program,3/27/2013,8/3/2023
Peoples Gas - Single Family Direct Install,IL,Financial Incentive,Rebate Program,3/27/2013,5/6/2024
City of Chicago - Solar Express Permit Program,IL,Regulatory Policy,Solar/Wind Permitting Standards,12/3/2015,8/11/2023
City of Chicago - Solar Zoning Policy,IL,Regulatory Policy,Solar/Wind Access Policy,9/27/2016,9/22/2023
Driving a Cleaner Illinois Program,IL,Financial Incentive,Grant Program,5/28/2021,3/21/2024
Electric Vehicle Fleet Fee Exemption,IL,Financial Incentive,Other Incentive,6/3/2021,3/21/2024
ComEd - Distributed Generation Rebates,IL,Financial Incentive,Rebate Program,6/18/2021,3/17/2025
Improvement Valuation of Commercial Solar Energy Systems,IL,Financial Incentive,Property Tax Assessment,6/9/2022,3/17/2025
Community Renewable Generation Project Rules,IL,Regulatory Policy,Community Solar Rules,6/9/2022,2/28/2025
Adjustable Block Program (Illinois Shines),IL,Financial Incentive,Solar Renewable Energy Credit Program,6/9/2022,8/14/2024
Illinois Solar for All Program,IL,Financial Incentive,Solar Renewable Energy Credit Program,6/9/2022,8/14/2024
MidAmerican Energy Residential Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,10/24/2023,10/24/2023
Ameren Illinois Distributed Generation Rebate Program,IL,Financial Incentive,Rebate Program,11/2/2023,3/17/2025
Electric Vehicle Rebate Program,IL,Financial Incentive,Rebate Program,11/2/2023,5/22/2025
Charging Infrastructure Grant Program,IL,Financial Incentive,Grant Program,11/3/2023,3/21/2024
Community Solar Energy Sovereignty Grant Program,IL,Financial Incentive,Grant Program,3/7/2024,3/7/2024
School Bus Retrofit Reimbursement,IL,Financial Incentive,Grant Program,3/21/2024,3/21/2024
Illinois - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IL,Financial Incentive,Grant Program,6/13/2024,6/13/2024
Energy Efficiency Revolving Loan Fund,IL,Financial Incentive,Loan Program,1/14/2025,1/14/2025
Renewable Energy Property Tax Exemption,IN,Financial Incentive,Property Tax Incentive,1/1/2000,8/15/2024
Indiana Solar Easements & Rights Laws,IN,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,9/22/2023
Net Metering,IN,Regulatory Policy,Net Metering,2/17/2005,2/28/2025
Interconnection Standards,IN,Regulatory Policy,Interconnection,2/10/2004,5/30/2024
Building Energy Code,IN,Regulatory Policy,Building Energy Code,7/27/2006,6/18/2023
South Central Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,9/1/2006,9/24/2024
Duke Energy - Residential and Builder Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,9/26/2006,5/15/2024
Duke Energy - Commercial and Industrial Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,9/26/2006,8/30/2024
Bartholomew County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/9/2007,8/19/2024
RushShelby Energy - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,6/20/2023
Clark County REMC - Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,7/24/2024
Southern Indiana Power - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,9/27/2024
Utilities District of Western Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,9/30/2024
WIN Energy REMC - Residential Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,8/27/2024
Dubois REC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,12/6/2024
Carroll County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,7/22/2024
NineStar Connect - Residential Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,7/10/2025
Harrison County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,8/27/2024
Jackson County REMC - Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,7/24/2024
Orange County REMC - Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,8/13/2007,8/28/2024
Jay County REMC - Water Heater Rebate Program,IN,Financial Incentive,Rebate Program,8/20/2007,7/10/2025
Marshall County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/20/2007,11/26/2024
Northeastern REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/20/2007,8/28/2024
Heartland REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,8/21/2007,9/27/2024
